Codigo;Nome;Descrição;unidade_medida;estoque_atual;estoque_minimo
MC-9887;ADESIVO LION KIT CAREN. LF-200 D/E AMARELO (12808);;UN;0;0
MC-9575;ADESIVO LION RECORTADO 238X48 PRETO (12013);;UN;0;0
MC-10409;ADESIVO LOGO LION (LFX) 240X50 PRATA (15160);;UN;0;0
MC-9991;ADESIVO OPTIMUS RECORTADO 420X48 PRATA (15813);;UN;0;0
MC-13411;ADESIVO PAINEL CONSOLE NOVO LF200 (49092);;UN;0;0
MC-11916;ADESIVO QR CODE NEW CYCLE KIDS (37735);;UN;0;0
MC-10267;ADESIVO REGUA PESO 15 A 110KGS (14299);;UN;0;0
MC-1270;ADESIVO TENSOR GRANDE (1354);;UN;0;0
MC-9822;ADESIVO TUBO DEITADO CABLE CROSS SMITH 272X86 (12169);;UN;0;0
MC-9274;ADESIVO LOGO LION RECORTADO 134X27 - PRATA (10578);;UN;0;0
MC-13431;ADESIVO LATERAL X4 I RECORTADO (48872);;UN;0;0
MC-1274;ADESIVO DE VOLTAGEM 220 VOLTZ (17451) VERMELHO;;UN;0;0
MC-10077;ADESIVO LION APROVADO FISIOTERAPIA (13573);;UN;0;0
MC-10917;ADESIVO LOGO LION REDONDO PRATA 110MM (15800);;UN;0;0
MC-13433;ADESIVO FRONTAL TECLADO VAZADO QUADRADO X4 I - 14 TECLAS ;;UN;0;0
MC-12451;ADESIVO KIT LATERAL BIKE HORIZONTAL (41654);;UN;0;0
MC-12368;ADESIVO FRONTAL  BIKE HORIZONTAL (41470);;UN;0;0
MC-1271;ADESIVO TENSOR PEQUENO (1716);;UN;0;0
MC-10890;ADESIVO RODA LION FITNESS LF-480 PRATA (15783);;UN;0;0
MC-13383;ADESIVO LION FEITO NO BRASIL BRANCO 40X40MM (49738);;UN;0;0
MC-9749;ADESIVO KIT LION ROTULO SILICONE (12502) (F/V) REV.02 ;;UN;0;0
MC-11597;ADESIVO FRONTAL TECLADO VAZADO QUADRADO X3 GT 13 ;;UN;0;0
MC-13432;ADESIVO FRONTAL SUPERIOR X4 I (48870) ;;UN;0;0
MC-11820;ADESIVO CARENAGEM SPINING LF-480C - (44798) PRATA;;UN;0;0
MC-9574;ADESIVO LION RECORTADO 238X48MM AMARELO (12014);;UN;0;0
MC-10778;ADESIVO LION VOLTAGEM 220V 80X8MM (16967);;UN;0;0
MC-10607;ADESIVO LION OVAL X6/X4 GT 95X35MM (16433);;UN;0;0
MC-10534;ADESIVO LATERAL X6-I RECORTADO PRATA (16176) ;;UN;0;0
MC-10758;ADESIVO FRONTAL SUPERIOR ESCADA PRETO (16969) ;;UN;0;0
MC-12367;ADESIVO FRONTAL TECLADO VAZADO QUADRADO BIKE ;;UN;0;0
MC-12872;ADESIVO KIT LION SE02 DIR./ESQ. PRETO/PRATA (47727)-SE02D;;UN;0;0
MC-11535;ADESIVO FRONTAL TECLADO VAZADO QUADRADO ESCADA PRETO ;;UN;0;0
MC-10968;ADESIVO FRONTAL SUPERIOR X4 GT (30911);;UN;0;0
MC-10969;ADESIVO LATERAL X4 GT RECORTADO PRATA (30909);;UN;0;0
MC-11400;ADESIVO FRONTAL TECLADO VAZADO QUADRADO ESCADA PRETO ;;UN;0;0
MC-11379;ADESIVO FRONTAL SUPERIOR ESCADA (33566) PAINEL TOUCH;;UN;0;0
MC-10748;ADESIVO KIT LOGO LION DIR./ESQ. PRETO/PRATA (16958);;UN;0;0
MC-11402;ADESIVO FRONTAL TECLADO QUADRADO VAZADO X6 PRETO ;;UN;0;0
MC-10730;ADESIVO ATENCAO PESSOAS COM PROBLEMAS (39485);;UN;0;0
MC-10533;ADESIVO LOGO LEAO ESCADA 151MM (16178);;UN;0;0
MC-10464;ADESIVO FRONTAL SUPERIOR X6 C/ INCLINACAO (15917) ;;UN;0;0
MC-9851;ADESIVO LOGO LION RECORTADO*** 134X27 - AMARELO (12076);;UN;0;0
MC-11401;ADESIVO FRONTAL TECLADO VAZADO QUADRADO X6 PRETO ;;UN;0;0
MC-12017;ADESIVO FRONTAL LED X6 (33821) PAINEL TOUCH;;UN;0;0
MC-11466;ADESIVO LOGO LION SE-01 47X30MM PRATA (33898);;UN;0;0
MC-10864;ADESIVO ETIQ. CUIDADO RISCO DE ESMAGAMENTO (30061);;UN;0;0
MC-13061;ADESIVO FRONTAL ESTEIRA KIDS FISIOTERAPIA 277X117 (47146);;UN;0;0
MC-10974;ADESIVO ETIQ. ATENCAO ESCADA (46324);;UN;0;0
MC-10465;ADESIVO FRONTAL SUPERIOR X6 S/ INCLINACAO (15918);;UN;0;0
MC-9998;ADESIVO LION RECORTADO 238X48MM PRATA (15781);;UN;0;0
MC-13133;ADESIVO FRONTAL TECLADO NEW CYCLO REABI. N6 (47418) - ;;UN;0;0
MC-13135;ADESIVO FRONTAL VISOR N6 NEW CYCLE (47420);;UN;0;0
MC-11596;ADESIVO FRONTAL SUPERIOR X3 GT (34523);;UN;0;0
MC-11266;ADESIVO KIT PAINEL AIR BIKE PRATA (32495);;UN;0;0
MC-13134;ADESIVO NEW CYCLE PEDALEIRA N6 (47419);;UN;0;0
MC-1269;ADESIVO NÃO SENTAR (16965);;UN;0;0
MC-10536;ADESIVO LION SE-01 RECORTADO 300X80MM PRATA (16179);;UN;0;0
MC-11376;ADESIVO LION RECORTADO AIR TRACTOR AMARELO (32433);;UN;0;0
MC-9628;ADESIVO CARENAGEM SPINING LF-480 AMARELA (31135);;UN;0;0
MC-11567;ADESIVO FRONTAL SUPERIOR NEW CYCLE TOUCH (34079);;UN;0;0
MC-13142;ADESIVO KIT LION LETRAS A A P (47608);;UN;0;0
MC-9734;ADESIVO LOGO LION REDONDO CLASSIC 111MM AMARELO (12158);;UN;0;0
MC-11565;ADESIVO LOGO NEW CYCLE 50,5X32,5MM PRATA (34067);;UN;0;0
MC-11568;ADESIVO NEW CYCLE PEDAL (34080);;UN;0;0
MC-11566;ADESIVO FRONTAL TECLADO NEW CYCLO REABI. (34078) - ;;UN;0;0
MC-9627;ADESIVO RODA LION FITNESS LF-480 AMARELA (12072);;UN;0;0
MC-10317;ADESIVO LION KIT CAREN. LF-200 D/E PRATA (15838);;UN;0;0
MC-11598;ADESIVO LATERAL X3 GT RECORTADO PRATA (34561) ;;UN;0;0
MC-10997;ADESIVO LION PATENTE REQUERIDA 53X69MM (31284)***;;UN;0;0
MC-13098;ADESIVO KIT LATERAL BIKE LF 350D (47384) ;;UN;0;0
MC-11561;ADESIVO FRONTAL SUPERIOR NEW CYCLE ESCADA PRETO (34120) ;;UN;0;0
MC-13141;ADESIVO KIT LION NUMEROS DE 01 A 29 (47607);;UN;0;0
MC-11563;ADESIVO LATERAL NEW CYCLE LION RECORTADO 300X80MM (34065);;UN;0;0
MC-9275;ADESIVO LOGO LION RECORTADO 134X27 - PRETO (10580);;UN;0;0
MC-11562;ADESIVO FRONTAL NEW CYCLE TECLADO VAZADO ESCADA (34064) -;;UN;0;0
MC-11564;ADESIVO LOGO LEAO NEW CYCLE ESCADA 151MM (34068) ;;UN;0;0
MC-13386;AD. LOGO LION CLIMA NOVA 90X995MM - 48727;;UN;0;0
MC-9172;ADESIVO ETIQUETA LION CLIMA (10252);;UN;0;0
MC-9926;ADESIVO LION CLIMA CUIDADO RISCOS DE CHOQUE ELETRICO ;;UN;0;0
MC-9928;ADESIVO LION CLIMA AVISO DE GARANTIA 115x33MM (12826);;UN;0;0
MC-9923;ADESIVO LION CLIMA LOGO RESINADO (12818);;UN;0;0
MC-9929;ADESIVO LION CLIMA CUIDADO PROTEÇÃO 90x51MM (12827);;UN;0;0
MC-9927;ADESIVO LION CLIMA ATENCAO 220V MONOFASICO 90x51MM (12825);;UN;0;0
MC-1298;ADESIVO CUIDADO FRÁGIL (2702);;UN;0;0
MC-8589;ADESIVO FAIXA LOGO LION POLI. (8203);;UN;0;0
MC-10369;ANEL ELASTICO E-8;;UN;0;0
MC-11585;ANEL ELASTICO I-35;;UN;0;0
MC-9332;MANCAL SFT-25 (25MM);;UN;0;0
MC-722;PINO ELASTICO 3X30;;UN;0;0
MC-768;ROLAMENTO 6201 DDU - 2ª LINHA;;UN;0;0
MC-799;ROLAMENTO 6202 DDU - 2ª LINHA;;UN;0;0
MC-769;ROLAMENTO 6203 DDU - 2ª LINHA;;UN;0;0
MC-1358;ROLAMENTO 6205 DDU - 2ª LINHA;;UN;0;0
MC-10069;ROLAMENTO LINEAR KH 2540;;UN;0;0
MC-13157;ROLAMENTO SK014 - 205 KRR#S35 (SEXTAVADO);;UN;0;0
